id,link
67968,https://e27.co/startups/defi-data-ai-pte-limited/
67928,https://e27.co/startups/blokid/
67725,https://e27.co/startups/sourcefy/
67967,https://e27.co/startups/university-living-accommodation-pvt-ltd-1/
67962,https://e27.co/startups/deepsphere-ai-pte-ltd/
67961,https://e27.co/startups/bonv-technology-private-limited-1/
64138,https://e27.co/startups/coin98/
63617,https://e27.co/startups/opencommerce-group/
67966,https://e27.co/startups/deepsphere-ai-pte-ltd-1/
64183,https://e27.co/startups/dehr/
64181,https://e27.co/startups/thetan-arena/
64180,https://e27.co/startups/tomochain/
64178,https://e27.co/startups/kyber-network/
64177,https://e27.co/startups/kambria/
64176,https://e27.co/startups/kardiachain/
67957,https://e27.co/startups/iq-wiki/
67952,https://e27.co/startups/pantas/
64179,https://e27.co/startups/darenft/
67965,https://e27.co/startups/carbon-balance-pte-ltd/
67964,https://e27.co/startups/tymy/
67955,https://e27.co/startups/grabdex/
67703,https://e27.co/startups/kinetixpro/
67945,https://e27.co/startups/atlas-labs/
67970,https://e27.co/startups/yesim/
67944,https://e27.co/startups/g-p/
66536,https://e27.co/startups/careera/
67933,https://e27.co/startups/xtend/
37728,https://e27.co/startups/appzgate/
27499,https://e27.co/startups/confirmu/
67960,https://e27.co/startups/htx/
67940,https://e27.co/startups/ddd-technology-pte-ltd/
67938,https://e27.co/startups/slik-safe-blazing-fast-file-experience/
67922,https://e27.co/startups/aeler-technologies-sa/
67913,https://e27.co/startups/designsense-ai/
67911,https://e27.co/startups/toki/
67845,https://e27.co/startups/omnichat/
44636,https://e27.co/startups/toku/
31653,https://e27.co/startups/xvidia-technologies/
18311,https://e27.co/startups/shield/
67918,https://e27.co/startups/eresource-scheduler/
67908,https://e27.co/startups/zoviz/
67904,https://e27.co/startups/club-caddie/
17316,https://e27.co/startups/groundshakinggo/
67912,https://e27.co/startups/foodtrail/
67909,https://e27.co/startups/emotsy/
67892,https://e27.co/startups/meiro-io/
51764,https://e27.co/startups/safe-space/
13815,https://e27.co/startups/JDMWebTechnologies/
67942,https://e27.co/startups/tyme-group/
67927,https://e27.co/startups/superseek/
67921,https://e27.co/startups/azgotrip/
67852,https://e27.co/startups/titlesprint/
67898,https://e27.co/startups/meals-in-minutes/
67880,https://e27.co/startups/human-managed/
31479,https://e27.co/startups/bbp/
67895,https://e27.co/startups/nextcarbon-inc/
67878,https://e27.co/startups/e-port/
67876,https://e27.co/startups/rently/
65139,https://e27.co/startups/emobily/
62720,https://e27.co/startups/cerebro/
60647,https://e27.co/startups/myfirst/
43317,https://e27.co/startups/howuku/
26493,https://e27.co/startups/propseller/
67907,https://e27.co/startups/creatio/
67875,https://e27.co/startups/bufferloop/
66528,https://e27.co/startups/future-quest-inc/
45503,https://e27.co/startups/blockarmour/
32709,https://e27.co/startups/James bond/
30945,https://e27.co/startups/moovaz/
13863,https://e27.co/startups/priyoshop-com/
4751,https://e27.co/startups/ayannah/
67897,https://e27.co/startups/helport/
67456,https://e27.co/startups/mida/
67270,https://e27.co/startups/collaborator/
66702,https://e27.co/startups/13o3-2/
66451,https://e27.co/startups/potioneer/
